"Tm","Year","Rank","Player","Age","First","Pts Won","Pts Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS48","Seed","W","L","PER","TS.","Points_Rank","Rebounds_Rank","Assists_Rank","Steals_Rank","Blocks_Rank","Per_Rank","TS_Rank","WS_Rank","Wins_Rank","Sum","All_Points_Rank","All_Rebounds_Rank","All_Assists_Rank","All_Steals_Rank","All_Blocks_Rank","All_Per_Rank","All_TS_Rank","All_WS_Rank","All_Wins_Rank","All_Sum"
"OKC",2014,1,"Kevin Durant",25,119,1232,1250,0.986,81,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295,2,59,23,29.8,0.635,1,3,3,3,2,1,2,1,1,16,4,52,48,61,52,15,9,3,26,241
"MIA",2014,2,"LeBron James",29,6,891,1250,0.713,77,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264,2,54,28,29.3,0.649,2,4,1,1,5,2,1,2,3,18,42,60,37,35,81,20,3,19,57,278
"LAC",2014,3,"Blake Griffin",24,0,434,1250,0.347,80,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,0.205,3,57,25,23.9,0.583,4,2,5,4,3,3,4,4,2,29,67,33,69,67,61,78,50,74,39,425
"CHI",2014,4,"Joakim Noah",28,0,322,1250,0.258,80,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0,0.737,11.2,0.19,4,48,34,20,0.531,5,1,4,5,1,5,5,5,5,31,100,17,51,68,27,99,94,83,81,456
"HOU",2014,5,"James Harden",24,0,85,1250,0.068,73,38,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8,0.221,4,54,28,23.5,0.618,3,5,2,2,4,4,3,3,4,26,56,86,39,36,72,85,19,65,58,393
"GSW",2015,1,"Stephen Curry",26,100,1198,1300,0.922,80,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,15.7,0.288,1,67,15,28,0.638,5,5,2,2,4,3,1,2,1,24,69,88,22,13,87,32,8,20,4,319
"HOU",2015,2,"James Harden",25,25,936,1300,0.72,81,36.8,27.4,5.7,7,1.9,0.7,0.44,0.375,0.868,16.4,0.265,2,56,26,26.7,0.605,2,4,4,3,2,4,2,1,2,22,35,71,31,17,53,47,31,14,47,285
"CLE",2015,3,"LeBron James",30,5,552,1300,0.425,69,36.1,25.3,6,7.4,1.6,0.7,0.488,0.354,0.71,10.4,0.199,2,53,29,25.9,0.577,3,3,3,4,3,5,4,5,3,30,59,68,25,37,54,60,58,90,61,361
"OKC",2015,4,"Russell Westbrook",26,0,352,1300,0.271,67,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6,0.222,9,45,37,29.1,0.536,1,2,1,1,5,2,5,4,4,21,26,56,18,11,88,22,89,89,92,310
"NOP",2015,5,"Anthony Davis",21,0,203,1300,0.156,68,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14,0.274,8,45,37,30.8,0.591,4,1,5,5,1,1,3,3,5,23,64,27,93,44,5,6,42,38,93,281
"GSW",2016,1,"Stephen Curry",27,131,1310,1310,1,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,1,73,9,31.5,0.669,1,5,3,1,5,1,1,1,1,18,13,78,33,12,89,3,1,9,1,229
