"Tm","Year","Rank","Player","Age","First","Pts Won","Pts Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS48","Seed","W","L","PER","TS."
"BOS",2009,7,"Paul Pierce",31,0,21,1210,0.017,81,37.5,20.5,5.6,3.6,1,0.3,0.457,0.391,0.83,10.3,0.164,2,62,20,17.7,0.582
"SAS",2009,8,"Tony Parker",26,0,9,1210,0.007,72,34.1,22,3.1,6.9,0.9,0.1,0.506,0.292,0.782,8.6,0.168,3,54,28,23.4,0.556
"POR",2009,9,"Brandon Roy",24,0,7,1210,0.006,78,37.2,22.6,4.7,5.1,1.1,0.3,0.48,0.377,0.824,13.5,0.223,4,54,28,24,0.573
"CLE",2010,1,"LeBron James",25,116,1205,1230,0.98,76,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,18.5,0.299,1,61,21,31.1,0.604
"PHO",2010,10,"Amar'e Stoudemire",27,0,5,1230,0.004,82,34.6,23.1,8.9,1,0.6,1,0.557,0.167,0.771,10.7,0.181,3,54,28,22.6,0.615
"SAS",2010,11,"Manu Ginóbili",32,0,3,1230,0.002,75,28.7,16.5,3.8,4.9,1.4,0.3,0.441,0.377,0.87,9.7,0.216,7,50,32,22.5,0.584
"ATL",2010,12,"Joe Johnson",28,0,1,1230,0.001,76,38,21.3,4.6,4.9,1.1,0.1,0.458,0.369,0.818,8.4,0.14,3,53,29,19.3,0.538
"DEN",2010,12,"Chauncey Billups",33,0,1,1230,0.001,73,34.1,19.5,3.1,5.6,1.1,0.1,0.418,0.386,0.91,9.5,0.182,4,53,29,20.2,0.601
"TOR",2010,12,"Chris Bosh",25,0,1,1230,0.001,70,36.1,24,10.8,2.4,0.6,1,0.518,0.364,0.797,9.6,0.182,9,40,42,25,0.592
"OKC",2010,2,"Kevin Durant",21,4,609,1230,0.495,82,39.5,30.1,7.6,2.8,1.4,1,0.476,0.365,0.9,16.1,0.238,8,50,32,26.2,0.607
"LAL",2010,3,"Kobe Bryant",31,0,599,1230,0.487,73,38.8,27,5.4,5,1.5,0.3,0.456,0.329,0.811,9.4,0.16,1,57,25,21.9,0.545
"ORL",2010,4,"Dwight Howard",24,3,478,1230,0.389,82,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0,0.592,13.2,0.223,2,59,23,24,0.63
"MIA",2010,5,"Dwyane Wade",28,0,119,1230,0.097,77,36.3,26.6,4.8,6.5,1.8,1.1,0.476,0.3,0.761,13,0.224,5,47,35,28,0.562
"DEN",2010,6,"Carmelo Anthony",25,0,65,1230,0.053,69,38.2,28.2,6.6,3.2,1.3,0.4,0.458,0.316,0.83,7.9,0.145,4,53,29,22.2,0.548
"DAL",2010,7,"Dirk Nowitzki",31,0,55,1230,0.045,81,37.5,25,7.7,2.7,0.9,1,0.481,0.421,0.915,12.3,0.194,2,55,27,22.9,0.578
"PHO",2010,8,"Steve Nash",35,0,49,1230,0.04,81,32.8,16.5,3.3,11,0.5,0.1,0.507,0.426,0.938,9.9,0.178,3,54,28,21.6,0.615
"UTA",2010,9,"Deron Williams",25,0,7,1230,0.006,76,36.9,18.7,4,10.5,1.3,0.2,0.469,0.371,0.801,10.3,0.177,5,53,29,20.6,0.574
"CHI",2011,1,"Derrick Rose",22,113,1182,1210,0.977,81,37.4,25,4.1,7.7,1,0.6,0.445,0.332,0.858,13.1,0.208,1,62,20,23.5,0.55
"BOS",2011,10,"Rajon Rondo",24,0,5,1210,0.004,68,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6,0.126,3,56,26,17.1,0.495
"LAC",2011,10,"Blake Griffin",21,0,5,1210,0.004,82,38,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152,13,32,50,21.9,0.549
"SAS",2011,12,"Tony Parker",28,0,3,1210,0.002,78,32.4,17.5,3.1,6.6,1.2,0,0.519,0.357,0.769,8.2,0.156,1,61,21,20.4,0.569
"NOH",2011,13,"Chris Paul",25,0,2,1210,0.002,80,36,15.9,4.1,9.8,2.4,0.1,0.463,0.388,0.878,13.9,0.232,7,46,36,23.7,0.578
"ORL",2011,2,"Dwight Howard",25,3,643,1210,0.531,78,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0,0.596,14.4,0.235,4,52,30,26.1,0.616
"MIA",2011,3,"LeBron James",26,4,522,1210,0.431,79,38.8,26.7,7.5,7,1.6,0.6,0.51,0.33,0.759,15.6,0.244,2,58,24,27.3,0.594
"LAL",2011,4,"Kobe Bryant",32,1,428,1210,0.354,82,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,10.3,0.178,2,57,25,23.9,0.548
"OKC",2011,5,"Kevin Durant",22,0,190,1210,0.157,78,38.9,27.7,6.8,2.7,1.1,1,0.462,0.35,0.88,12,0.189,4,55,27,23.6,0.589
"DAL",2011,6,"Dirk Nowitzki",32,0,113,1210,0.093,73,34.3,23,7,2.6,0.5,0.6,0.517,0.393,0.892,11.1,0.213,3,57,25,23.4,0.612
"MIA",2011,7,"Dwyane Wade",29,0,24,1210,0.02,76,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,12.8,0.218,2,58,24,25.6,0.581
"SAS",2011,8,"Manu Ginóbili",33,0,20,1210,0.017,80,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,9.9,0.195,1,61,21,21.7,0.581
"NYK",2011,9,"Amar'e Stoudemire",28,0,9,1210,0.007,78,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,8,0.134,6,42,40,22.7,0.565
"MIA",2012,1,"LeBron James",27,85,1074,1210,0.888,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298,2,46,20,30.7,0.605
"MIA",2012,10,"Dwyane Wade",30,0,6,1210,0.005,49,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,7.7,0.227,2,46,20,26.3,0.559
"CHI",2012,11,"Derrick Rose",23,0,5,1210,0.004,39,35.3,21.8,3.4,7.9,0.9,0.7,0.435,0.312,0.812,6,0.211,1,50,16,23,0.532
"DAL",2012,12,"Dirk Nowitzki",33,0,4,1210,0.003,62,33.5,21.6,6.7,2.2,0.7,0.5,0.457,0.368,0.896,7.6,0.175,7,36,30,21.7,0.564
"OKC",2012,12,"Russell Westbrook",23,0,4,1210,0.003,66,35.3,23.6,4.6,5.5,1.7,0.3,0.457,0.316,0.823,7.9,0.163,2,47,19,22.9,0.538
"SAS",2012,14,"Tim Duncan",35,0,3,1210,0.002,58,28.2,15.4,9,2.3,0.7,1.5,0.492,0,0.695,5.9,0.174,1,50,16,22.5,0.531
"ATL",2012,15,"Joe Johnson",30,0,1,1210,0.001,60,35.5,18.8,3.7,3.9,0.8,0.2,0.454,0.388,0.849,6.4,0.145,5,40,26,18.4,0.557
"OKC",2012,2,"Kevin Durant",23,24,889,1210,0.735,66,38.6,28,8,3.5,1.3,1.2,0.496,0.387,0.86,12.2,0.23,2,47,19,26.2,0.61
"LAC",2012,3,"Chris Paul",26,6,385,1210,0.318,60,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,12.7,0.278,5,40,26,27,0.581
"LAL",2012,4,"Kobe Bryant",33,2,352,1210,0.291,58,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,6.2,0.132,3,41,25,21.9,0.527
"SAS",2012,5,"Tony Parker",29,4,331,1210,0.274,60,32.1,18.3,2.9,7.7,1,0.1,0.48,0.23,0.799,7.1,0.177,1,50,16,22,0.539
"MIN",2012,6,"Kevin Love",23,0,58,1210,0.048,55,39,26,13.3,2,0.9,0.5,0.448,0.372,0.824,10,0.223,12,26,40,25.4,0.568
"ORL",2012,7,"Dwight Howard",26,0,13,1210,0.011,54,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0,0.491,7.7,0.179,6,37,29,24.2,0.569
"BOS",2012,8,"Rajon Rondo",25,0,12,1210,0.01,53,36.9,11.9,4.8,11.7,1.8,0.1,0.448,0.238,0.597,4.9,0.121,4,39,27,17.5,0.483
"PHO",2012,9,"Steve Nash",37,0,7,1210,0.006,62,31.6,12.5,3,10.7,0.6,0.1,0.532,0.39,0.894,5.9,0.144,10,33,33,20.3,0.625
"MIA",2013,1,"LeBron James",28,120,1207,1210,0.998,76,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322,1,66,16,31.6,0.64
"MIA",2013,10,"Dwyane Wade",31,0,5,1210,0.004,69,34.7,21.2,5,5.1,1.9,0.8,0.521,0.258,0.725,9.6,0.192,1,66,16,24,0.571
"GSW",2013,11,"Stephen Curry",24,0,3,1210,0.002,78,38.2,22.9,4,6.9,1.6,0.2,0.451,0.453,0.9,11.2,0.18,6,47,35,21.3,0.589
"BOS",2013,12,"Kevin Garnett",36,0,1,1210,0.001,68,29.7,14.8,7.8,2.3,1.1,0.9,0.496,0.125,0.786,5.6,0.133,7,41,40,19.2,0.535
"CHI",2013,12,"Joakim Noah",27,0,1,1210,0.001,66,36.8,11.9,11.1,4,1.2,2.1,0.481,0,0.751,7.3,0.145,5,45,37,18.1,0.534
"DEN",2013,12,"Ty Lawson",25,0,1,1210,0.001,73,34.4,16.7,2.7,6.9,1.5,0.1,0.461,0.366,0.756,7.4,0.141,3,57,25,17.9,0.549
"GSW",2013,12,"David Lee",29,0,1,1210,0.001,79,36.8,18.5,11.2,3.5,0.8,0.3,0.519,0,0.797,9.1,0.15,6,47,35,19.2,0.561
"MEM",2013,12,"Marc Gasol",28,0,1,1210,0.001,80,35,14.1,7.8,4,1,1.7,0.494,0.071,0.848,11.5,0.197,5,56,26,19.5,0.559
"OKC",2013,2,"Kevin Durant",24,0,765,1210,0.632,81,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,18.9,0.291,1,60,22,28.3,0.647
"NYK",2013,3,"Carmelo Anthony",28,1,475,1210,0.393,67,37,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5,0.184,2,54,28,24.8,0.56
"LAC",2013,4,"Chris Paul",27,0,289,1210,0.239,70,33.4,16.9,3.7,9.7,2.4,0.1,0.481,0.328,0.885,13.9,0.287,4,56,26,26.4,0.594
"LAL",2013,5,"Kobe Bryant",34,0,184,1210,0.152,78,38.6,27.3,5.6,6,1.4,0.3,0.463,0.324,0.839,10.9,0.174,7,45,37,23,0.57
"SAS",2013,6,"Tony Parker",30,0,86,1210,0.071,66,32.9,20.3,3,7.6,0.8,0.1,0.522,0.353,0.845,9.3,0.206,2,58,24,23,0.588
"SAS",2013,7,"Tim Duncan",36,0,65,1210,0.054,69,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.286,0.817,8.3,0.191,2,58,24,24.4,0.554
"HOU",2013,8,"James Harden",23,0,33,1210,0.027,78,38.3,25.9,4.9,5.8,1.8,0.5,0.438,0.368,0.851,12.8,0.206,8,45,37,23,0.6
"OKC",2013,9,"Russell Westbrook",24,0,9,1210,0.007,82,34.9,23.2,5.2,7.4,1.8,0.3,0.438,0.323,0.8,11.6,0.195,1,60,22,23.9,0.532
"OKC",2014,1,"Kevin Durant",25,119,1232,1250,0.986,81,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295,2,59,23,29.8,0.635
"POR",2014,10,"LaMarcus Aldridge",28,0,26,1250,0.021,69,36.2,23.2,11.1,2.6,0.9,1,0.458,0.2,0.822,7.5,0.144,5,54,28,21.8,0.507
"MIN",2014,11,"Kevin Love",25,0,25,1250,0.02,77,36.3,26.1,12.5,4.4,0.8,0.5,0.457,0.376,0.821,14.3,0.245,10,40,42,26.9,0.591
"SAS",2014,12,"Tim Duncan",37,0,21,1250,0.017,74,29.2,15.1,9.7,3,0.6,1.9,0.49,0,0.731,7.4,0.164,1,62,20,21.3,0.535
"SAS",2014,12,"Tony Parker",31,0,21,1250,0.017,68,29.4,16.7,2.3,5.7,0.5,0.1,0.499,0.373,0.811,5.9,0.141,1,62,20,18.9,0.555
"DAL",2014,14,"Dirk Nowitzki",35,0,7,1250,0.006,80,32.9,21.7,6.2,2.7,0.9,0.6,0.497,0.398,0.899,10.9,0.199,8,49,33,23.6,0.603
"NYK",2014,15,"Carmelo Anthony",29,0,4,1250,0.003,77,38.7,27.4,8.1,3.1,1.2,0.7,0.452,0.402,0.848,10.7,0.172,9,37,45,24.4,0.561
"PHO",2014,16,"Goran Dragic",27,0,3,1250,0.002,76,35.1,20.3,3.2,5.9,1.4,0.3,0.505,0.408,0.76,10.3,0.186,9,48,34,21.4,0.604
"MEM",2014,17,"Mike Conley",26,0,1,1250,0.001,73,33.5,17.2,2.9,6,1.5,0.2,0.45,0.361,0.815,8.2,0.161,7,50,32,20,0.545
"MIA",2014,2,"LeBron James",29,6,891,1250,0.713,77,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264,2,54,28,29.3,0.649
"LAC",2014,3,"Blake Griffin",24,0,434,1250,0.347,80,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,0.205,3,57,25,23.9,0.583
"CHI",2014,4,"Joakim Noah",28,0,322,1250,0.258,80,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0,0.737,11.2,0.19,4,48,34,20,0.531
"HOU",2014,5,"James Harden",24,0,85,1250,0.068,73,38,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8,0.221,4,54,28,23.5,0.618
"GSW",2014,6,"Stephen Curry",25,0,66,1250,0.053,78,36.5,24,4.3,8.5,1.6,0.2,0.471,0.424,0.885,13.4,0.225,6,51,31,24.1,0.61
"LAC",2014,7,"Chris Paul",28,0,45,1250,0.036,62,35,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2,0.27,3,57,25,25.9,0.58
"IND",2014,9,"Paul George",23,0,33,1250,0.026,80,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.864,10.8,0.178,1,56,26,20.1,0.555
"GSW",2015,1,"Stephen Curry",26,100,1198,1300,0.922,80,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,15.7,0.288,1,67,15,28,0.638
"GSW",2015,10,"Klay Thompson",24,0,1,1300,0.001,77,31.9,21.7,3.2,2.9,1.1,0.8,0.463,0.439,0.879,8.8,0.172,1,67,15,20.8,0.591
"SAS",2015,10,"Tim Duncan",38,0,1,1300,0.001,77,28.9,13.9,9.1,3,0.8,2,0.512,0.286,0.74,9.6,0.207,6,55,27,22.6,0.56
"SAS",2015,10,"Kawhi Leonard",23,0,1,1300,0.001,64,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,0.204,6,55,27,22,0.567
"HOU",2015,2,"James Harden",25,25,936,1300,0.72,81,36.8,27.4,5.7,7,1.9,0.7,0.44,0.375,0.868,16.4,0.265,2,56,26,26.7,0.605
"CLE",2015,3,"LeBron James",30,5,552,1300,0.425,69,36.1,25.3,6,7.4,1.6,0.7,0.488,0.354,0.71,10.4,0.199,2,53,29,25.9,0.577
"OKC",2015,4,"Russell Westbrook",26,0,352,1300,0.271,67,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6,0.222,9,45,37,29.1,0.536
"NOP",2015,5,"Anthony Davis",21,0,203,1300,0.156,68,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14,0.274,8,45,37,30.8,0.591
"LAC",2015,6,"Chris Paul",29,0,124,1300,0.095,82,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,16.1,0.27,3,56,26,26,0.596
"POR",2015,7,"LaMarcus Aldridge",29,0,6,1300,0.005,71,35.4,23.4,10.2,1.7,0.7,1,0.466,0.352,0.845,8.6,0.165,4,51,31,22.8,0.528
"LAC",2015,8,"Blake Griffin",25,0,3,1300,0.002,67,35.2,21.9,7.6,5.3,0.9,0.5,0.502,0.4,0.728,9,0.183,3,56,26,22.8,0.551
"MEM",2015,8,"Marc Gasol",30,0,3,1300,0.002,81,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,0.182,5,55,27,21.7,0.558
"GSW",2016,1,"Stephen Curry",27,131,1310,1310,1,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,1,73,9,31.5,0.669
"TOR",2016,10,"Kyle Lowry",29,0,6,1310,0.005,77,37,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196,2,56,26,22.2,0.578
"SAS",2016,2,"Kawhi Leonard",24,0,634,1310,0.484,72,33.1,21.2,6.8,2.6,1.8,1,0.506,0.443,0.874,13.7,0.277,2,67,15,26,0.616
"CLE",2016,3,"LeBron James",31,0,631,1310,0.482,76,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242,1,57,25,27.5,0.588
"OKC",2016,4,"Russell Westbrook",27,0,486,1310,0.371,80,34.4,23.5,7.8,10.4,2,0.3,0.454,0.296,0.812,14,0.245,3,55,27,27.6,0.554
"OKC",2016,5,"Kevin Durant",27,0,147,1310,0.112,72,35.8,28.2,8.2,5,1,1.2,0.505,0.387,0.898,14.5,0.27,3,55,27,28.2,0.634
"LAC",2016,6,"Chris Paul",30,0,107,1310,0.082,74,32.7,19.5,4.2,10,2.1,0.2,0.462,0.371,0.896,12.7,0.253,4,53,29,26.2,0.575
"GSW",2016,7,"Draymond Green",25,0,50,1310,0.038,81,34.7,14,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19,1,73,9,19.3,0.587
"POR",2016,8,"Damian Lillard",25,0,26,1310,0.02,75,35.7,25.1,4,6.8,0.9,0.4,0.419,0.375,0.892,9.2,0.165,5,44,38,22.2,0.56
"HOU",2016,9,"James Harden",26,0,9,1310,0.007,82,38.1,29,6.1,7.5,1.7,0.6,0.439,0.359,0.86,13.3,0.204,8,41,41,25.3,0.598
"OKC",2017,1,"Russell Westbrook",28,69,888,1010,0.879,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224,6,47,35,30.6,0.554
"TOR",2017,11,"DeMar DeRozan",27,0,1,1010,0.001,74,35.4,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.842,9,0.166,3,51,31,24,0.552
"HOU",2017,2,"James Harden",27,22,753,1010,0.746,81,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15,0.245,3,55,27,27.4,0.613
"SAS",2017,3,"Kawhi Leonard",25,9,500,1010,0.495,74,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264,2,61,21,27.6,0.61
"CLE",2017,4,"LeBron James",32,1,333,1010,0.33,74,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,0.221,2,51,31,27,0.619
"BOS",2017,5,"Isaiah Thomas",27,0,81,1010,0.08,76,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234,1,53,29,26.5,0.625
"GSW",2017,6,"Stephen Curry",28,0,52,1010,0.051,79,33.4,25.3,4.5,6.6,1.8,0.2,0.468,0.411,0.898,12.6,0.229,1,67,15,24.6,0.624
"MIL",2017,7,"Giannis Antetokounmpo",22,0,7,1010,0.007,80,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21,6,42,40,26.1,0.599
"WAS",2017,7,"John Wall",26,0,7,1010,0.007,78,36.4,23.1,4.2,10.7,2,0.6,0.451,0.327,0.801,8.8,0.149,4,49,33,23.2,0.541
"GSW",2017,9,"Kevin Durant",28,0,2,1010,0.002,62,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,12,0.278,1,67,15,27.6,0.651
"NOP",2017,9,"Anthony Davis",23,0,2,1010,0.002,75,36.1,28,11.8,2.1,1.3,2.2,0.505,0.299,0.802,11,0.195,10,34,48,27.5,0.58
"HOU",2018,1,"James Harden",28,86,965,1010,0.955,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289,1,65,17,29.8,0.619
"GSW",2018,10,"Stephen Curry",29,0,5,1010,0.005,51,32,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.921,9.1,0.267,2,58,24,28.2,0.675
"MIN",2018,10,"Jimmy Butler",28,0,5,1010,0.005,59,36.7,22.2,5.3,4.9,2,0.4,0.474,0.35,0.854,8.9,0.198,8,47,35,23.7,0.59
"PHI",2018,12,"Joel Embiid",23,0,4,1010,0.004,63,30.3,22.9,11,3.2,0.6,1.8,0.483,0.308,0.769,6.2,0.155,3,52,30,22.9,0.573
"IND",2018,13,"Victor Oladipo",25,0,2,1010,0.002,75,34,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155,5,48,34,23.1,0.577
"CLE",2018,2,"LeBron James",33,15,738,1010,0.731,82,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14,0.221,4,50,32,28.6,0.621
"NOP",2018,3,"Anthony Davis",24,0,445,1010,0.441,75,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241,6,48,34,28.9,0.612
"POR",2018,4,"Damian Lillard",27,0,207,1010,0.205,73,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,12.6,0.227,3,49,33,25.2,0.594
"OKC",2018,5,"Russell Westbrook",29,0,76,1010,0.075,80,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166,4,48,34,24.7,0.524
"MIL",2018,6,"Giannis Antetokounmpo",23,0,75,1010,0.074,75,36.7,26.9,10,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207,7,44,38,27.3,0.598
"GSW",2018,7,"Kevin Durant",29,0,66,1010,0.065,68,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215,2,58,24,26,0.64
"TOR",2018,8,"DeMar DeRozan",28,0,32,1010,0.032,80,33.9,23,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,0.17,1,59,23,21,0.555
"SAS",2018,9,"LaMarcus Aldridge",32,0,6,1010,0.006,75,33.5,23.1,8.5,2,0.6,1.2,0.51,0.293,0.837,10.9,0.209,7,47,35,25,0.57
"MIL",2019,1,"Giannis Antetokounmpo",24,78,941,1010,0.932,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292,1,60,22,30.9,0.644
"OKC",2019,10,"Russell Westbrook",30,0,8,1010,0.008,73,36,22.9,11.1,10.7,1.9,0.5,0.428,0.29,0.656,6.8,0.124,6,49,33,21.1,0.501
"LAL",2019,11,"LeBron James",34,0,1,1010,0.001,55,35.2,27.4,8.5,8.3,1.3,0.6,0.51,0.339,0.665,7.2,0.179,10,37,45,25.6,0.588
"UTA",2019,11,"Rudy Gobert",26,0,1,1010,0.001,81,31.8,15.9,12.9,2,0.8,2.3,0.669,NA,0.636,14.4,0.268,5,50,32,24.6,0.682
"HOU",2019,2,"James Harden",29,23,776,1010,0.768,78,36.8,36.1,6.6,7.5,2,0.7,0.442,0.368,0.879,15.2,0.254,4,53,29,30.6,0.616
"OKC",2019,3,"Paul George",28,0,356,1010,0.352,77,36.9,28,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201,6,49,33,23.3,0.583
"DEN",2019,4,"Nikola Jokic",23,0,212,1010,0.21,80,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,11.8,0.226,2,54,28,26.3,0.589
"GSW",2019,5,"Stephen Curry",30,0,175,1010,0.173,69,33.8,27.3,5.3,5.2,1.3,0.4,0.472,0.437,0.916,9.7,0.199,1,57,25,24.4,0.641
"POR",2019,6,"Damian Lillard",28,0,69,1010,0.068,80,35.5,25.8,4.6,6.9,1.1,0.4,0.444,0.369,0.912,12.1,0.205,3,53,29,23.7,0.588
"PHI",2019,7,"Joel Embiid",24,0,49,1010,0.049,64,33.7,27.5,13.6,3.7,0.7,1.9,0.484,0.3,0.804,8.7,0.194,3,51,31,26.1,0.593
"GSW",2019,8,"Kevin Durant",30,0,25,1010,0.025,78,34.6,26,6.4,5.9,0.7,1.1,0.521,0.353,0.885,11.5,0.204,1,57,25,24.2,0.631
"TOR",2019,9,"Kawhi Leonard",27,0,13,1010,0.013,60,34,26.6,7.3,3.3,1.8,0.4,0.496,0.371,0.854,9.5,0.224,2,58,24,25.8,0.606
